close,open,Thigh,low,volumn,datetime
77.54262,77.54262,77.54262,77.54262,1100,2021-12-31 03:04:00+00:00
77.54262,77.54262,77.54262,77.54262,400,2021-12-31 03:05:00+00:00
77.54262,77.54262,77.6252,77.54262,2900,2021-12-31 03:06:00+00:00
77.6252,77.54262,77.6252,77.54262,200,2021-12-31 03:07:00+00:00
77.54262,77.54262,77.54262,77.54262,1000,2021-12-31 03:08:00+00:00
77.6252,77.54262,77.6252,77.54262,8400,2021-12-31 03:09:00+00:00
77.54262,77.54262,77.54262,77.54262,200,2021-12-31 03:10:00+00:00
77.54262,77.54262,77.54262,77.54262,100,2021-12-31 03:11:00+00:00
77.54262,77.54262,77.54262,77.54262,200,2021-12-31 03:12:00+00:00
77.6252,77.46004,77.6252,77.46004,8800,2021-12-31 03:13:00+00:00
77.6252,77.6252,77.6252,77.6252,4900,2021-12-31 03:14:00+00:00
77.6252,77.54262,77.6252,77.54262,600,2021-12-31 03:15:00+00:00
77.54262,77.54262,77.54262,77.54262,100,2021-12-31 03:16:00+00:00
77.54262,77.54262,77.54262,77.54262,1000,2021-12-31 03:20:00+00:00
77.46004,77.46004,77.46004,77.46004,1000,2021-12-31 03:22:00+00:00
77.54262,77.54262,77.54262,77.54262,100,2021-12-31 03:23:00+00:00
77.46004,77.54262,77.54262,77.46004,200,2021-12-31 03:24:00+00:00
77.46004,77.46004,77.46004,77.46004,2000,2021-12-31 03:25:00+00:00
77.46004,77.54262,77.54262,77.46004,5700,2021-12-31 03:26:00+00:00
77.37746,77.37746,77.46004,77.37746,6700,2021-12-31 03:27:00+00:00
77.46004,77.37746,77.46004,77.37746,1900,2021-12-31 03:28:00+00:00
77.46004,77.46004,77.46004,77.46004,300,2021-12-31 03:29:00+00:00
77.46004,77.46004,77.46004,77.46004,500,2021-12-31 03:30:00+00:00
77.46004,77.37746,77.46004,77.37746,2000,2021-12-31 03:31:00+00:00
77.37746,77.37746,77.37746,77.37746,1200,2021-12-31 03:32:00+00:00
77.37746,77.37746,77.46004,77.37746,2200,2021-12-31 03:33:00+00:00
77.37746,77.37746,77.46004,77.37746,2400,2021-12-31 03:34:00+00:00
77.54262,77.37746,77.54262,77.37746,45600,2021-12-31 03:35:00+00:00
77.54262,77.46004,77.54262,77.37746,2500,2021-12-31 03:36:00+00:00
77.37746,77.46004,77.46004,77.37746,1000,2021-12-31 03:37:00+00:00
77.37746,77.37746,77.37746,77.37746,1300,2021-12-31 03:38:00+00:00
77.37746,77.37746,77.37746,77.37746,1300,2021-12-31 03:39:00+00:00
77.37746,77.37746,77.54262,77.37746,2100,2021-12-31 03:40:00+00:00
77.37746,77.37746,77.37746,77.37746,1100,2021-12-31 03:41:00+00:00
77.37746,77.37746,77.37746,77.37746,1100,2021-12-31 03:42:00+00:00
77.46004,77.54262,77.54262,77.37746,1400,2021-12-31 03:43:00+00:00
77.37746,77.37746,77.37746,77.37746,1600,2021-12-31 03:44:00+00:00
77.54262,77.46004,77.54262,77.46004,2000,2021-12-31 03:45:00+00:00
77.37746,77.46004,77.46004,77.37746,1500,2021-12-31 03:46:00+00:00
77.37746,77.37746,77.37746,77.37746,1300,2021-12-31 03:47:00+00:00
77.37746,77.37746,77.37746,77.37746,1100,2021-12-31 03:48:00+00:00
77.37746,77.37746,77.37746,77.37746,1700,2021-12-31 03:49:00+00:00
77.46004,77.37746,77.46004,77.37746,1200,2021-12-31 03:50:00+00:00
77.37746,77.37746,77.37746,77.37746,1800,2021-12-31 03:51:00+00:00
77.37746,77.37746,77.37746,77.37746,1200,2021-12-31 03:52:00+00:00
77.37746,77.37746,77.46004,77.37746,42500,2021-12-31 03:53:00+00:00
77.46004,77.37746,77.46004,77.37746,9200,2021-12-31 03:54:00+00:00
77.46004,77.46004,77.54262,77.46004,3800,2021-12-31 03:55:00+00:00
77.46004,77.46004,77.46004,77.46004,1200,2021-12-31 03:56:00+00:00
77.46004,77.46004,77.54262,77.46004,4200,2021-12-31 03:57:00+00:00
77.46004,77.46004,77.46004,77.46004,1900,2021-12-31 03:58:00+00:00
77.46004,77.46004,77.46004,77.46004,1700,2021-12-31 03:59:00+00:00
77.54262,77.46004,77.54262,77.46004,2300,2021-12-31 04:00:00+00:00
77.54262,77.54262,77.54262,77.46004,3000,2021-12-31 04:01:00+00:00
77.46004,77.46004,77.54262,77.46004,2100,2021-12-31 04:02:00+00:00
77.46004,77.46004,77.54262,77.46004,1300,2021-12-31 04:03:00+00:00
77.46004,77.46004,77.46004,77.46004,1600,2021-12-31 04:04:00+00:00
